electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
Santa Clara County Council District r,District 3 Supervisor,Dave Cortese," Tenth Floor - East Wing 70 West Hedding Street San Jose, CA 95110",408-299-5001,http://www.sccgov.org/sites/scc/Pages/Elected-Officials.aspx,,,
Santa Clara County Council District r,District 4 Supervisor,Ken Yeager," Tenth Floor - East Wing 70 West Hedding Street San Jose, CA 95110",408-299-5001,http://www.sccgov.org/sites/scc/Pages/Elected-Officials.aspx,,,
Santa Clara County Council District r,District 5 Supervisor,Joe Simitian," Tenth Floor - East Wing 70 West Hedding Street San Jose, CA 95110",408-299-5001,http://www.sccgov.org/sites/scc/Pages/Elected-Officials.aspx,,,
Santa Clara County,County Assessor,Lawrence E. Stone,,,http://www.sccgov.org/sites/scc/Pages/Elected-Officials.aspx,,,
Santa Clara County,District Attorney,Jeffrey Rosen,,,http://www.sccgov.org/sites/scc/Pages/Elected-Officials.aspx,,,
Santa Clara County,County Sheriff,Laurie Smith,,,http://www.sccgov.org/sites/scc/Pages/Elected-Officials.aspx,,,
Tarrant County,County Judge,Glen Whitley,,,http://access.tarrantcounty.com//en/county-judge.html,,,
Tarrant County Council District 1,Commissioner Precinct 1,Roy Charles Brooks,"100 E. Weatherford Room 502A Fort Worth, Texas 76196",817-884-1234,http://access.tarrantcounty.com//en/commissioner-1.html,,,
Tarrant County Council District 2,Commissioner Precinct 2,Andy Nguyen,"100 E. Weatherford Room 502A Fort Worth, Texas 76196",817-884-1234,http://access.tarrantcounty.com//en/commissioner-2.html,,,
Tarrant County Council District 3,Commissioner Precinct 3,Gary Fickes,"100 E. Weatherford Room 502A Fort Worth, Texas 76196",817-884-1234,http://access.tarrantcounty.com//en/commissioner-3.html,,,
Tarrant County Council District 4,Commissioner Precinct 4,J. D. Johnson,"100 E. Weatherford Room 502A Fort Worth, Texas 76196",817-884-1234,http://access.tarrantcounty.com//en/commissioner-4.html,,,
Tarrant County,County Clerk,Mary Louise Garcia,,,http://access.tarrantcounty.com//en/county-clerk.html,,,
Tarrant County,Criminal District Attorney,Sharen Wilson,,,http://access.tarrantcounty.com//en/criminal-district-attorney.html,,,
Tarrant County,District Clerk,Thomas A. Wilder,,,http://access.tarrantcounty.com//en/district-clerk.html,,,
Tarrant County,Sheriff,Dee B. Anderson,,,http://access.tarrantcounty.com//en/sheriff/sheriff-s-administration/sheriff-s-biography.html,,,
Tarrant County,Tax Assessor-Collector,Ronald J. Wright,,,http://access.tarrantcounty.com//en/tax.html,,,
